part_number,current_draw_mA,S11_dB,S21_dB,S12_dB,S22_dB,timestamp
LNA00369P1,83.0,-12.872,34.429,-50.291,-11.189,2026-07-14T15:52:29
LNA00370P1,82.0,-13.274,34.507,-49.355,-11.409,2026-07-14T15:53:22
LNA00368P2,84.0,-12.93,34.463,-50.253,-11.494,2026-07-14T15:54:04
LNA00371P1,83.0,-13.544,34.583,-53.181,-11.348,2026-07-14T15:54:43
LNA00372P1,86.0,-14.08,34.894,-46.071,-11.977,2026-07-14T15:55:18
LNA00372P2,86.0,-13.804,34.895,-45.706,-10.668,2026-07-14T15:56:00
LNA00369P2,83.0,-13.758,34.804,-41.618,-10.98,2026-07-14T15:56:33
LNA00360P2,85.0,-13.585,34.724,-50.723,-11.446,2026-07-14T15:57:03
LNA00370P2,87.0,-14.45,34.921,-45.404,-11.286,2026-07-14T15:57:34
LNA00375P2,81.0,-13.027,34.636,-48.658,-12.013,2026-07-14T15:58:15
LNA00376P2,81.0,-13.569,34.661,-54.373,-12.39,2026-07-14T15:59:25
LNA00371P2,83.0,-12.129,34.453,-49.729,-11.765,2026-07-14T16:00:18
LNA00377P2,82.0,-13.789,34.723,-47.997,-11.139,2026-07-14T16:01:04
LNA00378P2,83.0,-12.951,34.497,-54.289,-11.869,2026-07-14T16:01:46
LNA00498P2,83.0,-13.187,34.671,-51.609,-11.73,2026-07-14T16:30:45
LNA00498P1,82.0,-13.116,34.648,-51.139,-12.521,2026-07-14T16:32:02
LNA00401P1,84.0,-12.961,34.643,-45.764,-11.155,2026-07-14T17:06:27
LNA00402P1,84.0,-13.462,34.763,-50.32,-11.781,2026-07-14T17:07:02
LNA00401P2,83.0,-13.034,34.714,-46.935,-11.061,2026-07-14T17:07:53
LNA00402P2,84.0,-12.969,34.778,-46.599,-11.004,2026-07-14T17:08:17
LNA00403P1,84.0,-13.711,34.778,-58.212,-11.785,2026-07-14T17:12:35
LNA00404P1,85.0,-12.634,34.533,-47.332,-11.497,2026-07-14T17:13:20
LNA00405P1,84.0,-13.455,34.738,-59.066,-11.882,2026-07-14T17:14:03
LNA00493P2,82.0,-12.912,34.722,-45.852,-12.034,2026-07-14T17:15:25
LNA00404P2,83.0,-12.985,34.609,-53.842,-11.108,2026-07-14T17:16:51
LNA00405P2,84.0,-13.297,34.711,-50.293,-12.301,2026-07-14T17:18:04
LNA00496P2,84.0,-13.367,34.648,-45.379,-11.644,2026-07-14T17:18:41
LNA00406P2,81.0,-15.296,34.538,-45.024,-10.69,2026-07-14T17:20:59
LNA00497P1,0.0,-3.092,-29.503,-30.116,0.111,2026-07-14T17:21:49
LNA00496P1,81.0,-13.311,34.693,-48.165,-11.414,2026-07-14T17:22:30
LNA00497P2,81.0,-12.211,34.381,-46.5,-11.318,2026-07-14T17:23:10
LNA00495P2,83.0,-13.508,34.83,-48.935,-11.422,2026-07-14T17:23:45
LNA00491P2,82.0,-12.767,34.574,-49.532,-12.443,2026-07-14T17:24:29
LNA00492P2,80.0,-12.794,34.475,-50.633,-11.433,2026-07-14T17:25:34
LNA00495P1,85.0,-14.554,34.601,-44.302,-12.106,2026-07-14T17:26:06
LNA00494P1,81.0,-12.655,34.659,-45.172,-12.14,2026-07-14T17:27:16
LNA00493P1,83.0,-13.107,34.719,-59.363,-10.988,2026-07-14T17:27:56
LNA00492P1,84.0,-13.142,34.639,-60.059,-12.199,2026-07-14T17:28:32
LNA00483P2,82.0,-12.937,34.564,-47.162,-11.466,2026-07-14T17:29:07
LNA00487P2,81.0,-12.951,34.633,-46.142,-11.554,2026-07-14T17:29:38
LNA00488P2,81.0,-13.351,34.753,-43.679,-10.83,2026-07-14T17:31:41
LNA00489P2,84.0,-13.382,34.66,-43.832,-10.829,2026-07-14T17:32:15
LNA00490P2,82.0,-13.376,34.794,-51.223,-11.861,2026-07-14T17:33:04
LNA00494P2,81.0,-12.672,34.592,-45.145,-11.723,2026-07-14T17:34:35
LNA00480P2,81.0,-12.825,34.6,-43.201,-11.76,2026-07-14T17:35:21
LNA00481P2,83.0,-13.468,34.662,-44.692,-11.625,2026-07-14T17:35:59
LNA00482P2,83.0,-13.655,34.823,-47.763,-11.605,2026-07-14T17:36:41
LNA00484P2,82.0,-13.302,34.572,-49.88,-12.099,2026-07-14T17:37:19
LNA00486P2,82.0,-12.657,34.498,-49.019,-11.716,2026-07-14T17:38:02
LNA00485P2,81.0,-13.032,34.673,-46.301,-12.389,2026-07-14T17:38:37
LNA00475P2,85.0,-14.002,34.915,-47.756,-11.586,2026-07-14T17:39:21
LNA00476P2,81.0,-12.504,34.521,-49.608,-12.183,2026-07-14T17:39:58
LNA00477P2,85.0,-14.124,34.91,-43.918,-11.386,2026-07-14T17:40:35
LNA00478P2,85.0,-13.551,34.753,-48.524,-11.593,2026-07-14T17:41:30
LNA00479P2,84.0,-12.965,34.552,-45.108,-10.484,2026-07-14T17:42:04
LNA00406P1,80.0,-12.628,34.516,-44.433,-11.623,2026-07-14T17:42:58
LNA00491P1,84.0,-13.678,34.63,-44.338,-11.222,2026-07-14T17:43:47
LNA00490P1,84.0,-13.614,34.605,-59.732,-11.563,2026-07-14T17:44:50
LNA00489P1,80.0,-12.498,34.469,-51.665,-11.429,2026-07-14T17:45:25
LNA00488P1,85.0,-13.112,34.687,-47.932,-11.835,2026-07-14T17:46:37
LNA00487P1,83.0,-13.438,34.613,-53.001,-11.412,2026-07-14T17:47:12
LNA00486P1,88.0,-14.121,34.942,-70.616,-11.807,2026-07-14T17:47:53
LNA00485P1,82.0,-13.149,34.854,-70.347,-12.166,2026-07-14T17:48:38
LNA00484P1,80.0,-12.789,34.508,-50.59,-11.365,2026-07-14T17:49:52
LNA00483P1,83.0,-13.415,34.559,-57.06,-12.413,2026-07-14T17:50:43
LNA00479P1,81.0,-13.019,34.484,-43.889,-10.749,2026-07-14T17:51:18
LNA00480P1,81.0,-12.451,34.429,-59.73,-11.376,2026-07-14T17:51:53
LNA00481P1,82.0,-12.99,34.61,-50.112,-11.843,2026-07-14T17:52:24
LNA00475P1,84.0,-13.843,34.814,-46.317,-11.298,2026-07-14T17:53:45
LNA00476P1,82.0,-13.185,34.828,-52.478,-11.157,2026-07-14T17:54:24
LNA00477P1,82.0,-13.054,34.596,-44.069,-10.963,2026-07-14T17:54:56
LNA00478P1,83.0,-13.208,34.895,-55.307,-11.774,2026-07-14T17:55:54
LNA00482P1,82.0,-12.704,34.522,-45.85,-11.361,2026-07-14T17:56:52
LNA00403P2,82.0,-12.955,34.685,-44.526,-11.632,2026-07-14T17:57:29
LNA00451P1,83.0,-12.609,34.609,-43.739,-11.697,2026-07-14T18:48:50
LNA00393P2,84.0,-13.148,34.665,-54.964,-11.153,2026-07-14T18:49:39
LNA00399P1,86.0,-13.55,34.706,-53.492,-11.912,2026-07-14T18:50:13
LNA00388P1,81.0,-12.722,34.639,-47.575,-11.578,2026-07-14T18:52:54
LNA00385P2,86.0,-13.599,34.709,-49.729,-11.968,2026-07-14T18:54:48
LNA00386P2,85.0,-13.569,34.732,-49.56,-11.093,2026-07-14T18:55:33
LNA00394P2,84.0,-13.211,34.641,-48.914,-12.132,2026-07-14T18:56:09
LNA00395P2,88.0,-13.846,34.95,-45.377,-12.025,2026-07-14T18:57:21
LNA00396P2,85.0,-13.285,34.58,-52.145,-11.194,2026-07-14T18:57:57
LNA00387P2,83.0,-12.863,34.73,-43.275,-11.718,2026-07-14T18:59:05
LNA00388P2,85.0,-13.758,34.829,-47.891,-10.972,2026-07-14T18:59:43
LNA00389P2,85.0,-13.974,34.9,-43.14,-12.58,2026-07-14T19:00:19
LNA00390P2,83.0,-12.943,34.539,-50.686,-10.957,2026-07-14T19:01:40
LNA00397P2,83.0,-12.696,34.631,-49.834,-11.801,2026-07-14T19:04:12
LNA00398P2,85.0,-13.324,34.799,-51.819,-12.267,2026-07-14T19:05:41
LNA00399P2,84.0,-14.171,34.797,-42.968,-10.733,2026-07-14T19:07:13
LNA00400P2,81.0,-12.818,34.558,-47.064,-11.309,2026-07-14T19:08:17
LNA00458P2,81.0,-12.601,34.601,-44.816,-12.019,2026-07-14T19:10:51
LNA00453P1,81.0,-12.878,34.374,-46.414,-10.948,2026-07-14T19:26:29
LNA00499P1,86.0,-13.633,34.684,-52.952,-11.484,2026-07-14T19:27:09
LNA00499P2,84.0,-12.523,34.521,-47.937,-11.22,2026-07-14T19:28:19
LNA00459P2,83.0,-13.189,34.653,-59.584,-11.436,2026-07-14T19:30:38
LNA00471P2,82.0,-12.458,34.52,-46.648,-11.445,2026-07-14T19:31:35
LNA00392P2,82.0,-12.835,34.494,-52.41,-11.486,2026-07-14T19:32:38
LNA00391P2,83.0,-12.372,34.53,-44.029,-12.555,2026-07-14T19:33:58
LNA00454P2,83.0,-12.847,34.713,-43.911,-11.004,2026-07-14T19:36:38
LNA00462P2,83.0,-13.437,34.688,-47.13,-11.486,2026-07-14T19:37:12
LNA00451P2,80.0,-13.003,34.802,-50.05,-11.696,2026-07-14T19:37:40
LNA00452P2,81.0,-13.103,34.855,-49.544,-11.256,2026-07-14T19:38:21
LNA00453P2,83.0,-13.875,34.822,-48.739,-11.796,2026-07-14T19:38:57
LNA00456P2,83.0,-12.51,34.651,-49.297,-10.789,2026-07-14T19:46:18
LNA00500P2,83.0,-13.312,34.843,-45.743,-11.674,2026-07-14T19:46:52
LNA00461P2,85.0,-12.768,34.579,-52.636,-11.355,2026-07-14T19:47:28
LNA00460P2,85.0,-13.698,34.715,-49.517,-12.087,2026-07-14T19:48:38
LNA00455P2,84.0,-13.13,34.657,-44.416,-11.34,2026-07-14T19:49:28
LNA00472P2,84.0,-13.424,34.762,-48.61,-11.182,2026-07-14T19:50:31
LNA00417P2,83.0,-12.209,34.432,-50.66,-11.109,2026-07-14T19:51:00
LNA00419P2,84.0,-13.382,34.747,-47.521,-11.168,2026-07-14T19:51:37
LNA00433P2,82.0,-12.517,34.406,-50.603,-11.57,2026-07-14T19:52:10
LNA00447P2,84.0,-13.075,34.849,-41.103,-10.938,2026-07-14T19:52:54
LNA00449P2,82.0,-13.37,34.621,-69.575,-12.289,2026-07-14T19:53:31
LNA00418P2,84.0,-13.068,34.703,-44.066,-11.076,2026-07-14T19:54:23
LNA00434P2,81.0,-13.238,34.778,-49.819,-11.477,2026-07-14T19:54:58
LNA00421P2,83.0,-12.989,34.646,-46.7,-11.699,2026-07-14T19:55:33
LNA00450P2,82.0,-12.399,34.462,-46.133,-12.255,2026-07-14T19:56:30
LNA00437P2,83.0,-13.552,34.576,-45.385,-10.867,2026-07-14T19:57:15
LNA00448P2,84.0,-13.117,34.645,-47.828,-12.138,2026-07-14T19:57:45
LNA00435P2,87.0,-13.951,34.866,-50.26,-12.21,2026-07-14T19:58:16
LNA00420P2,82.0,-13.257,34.729,-52.931,-11.898,2026-07-14T19:59:23
LNA00407P2,81.0,-13.34,34.701,-47.574,-12.083,2026-07-14T20:00:11
LNA00473P2,83.0,-12.893,34.612,-51.235,-10.894,2026-07-14T20:00:43
LNA00501P2,82.0,-13.285,34.639,-49.119,-11.459,2026-07-14T20:01:28
LNA00502P2,84.0,-13.113,34.702,-52.051,-11.651,2026-07-14T20:02:02
LNA00438P2,82.0,-13.002,34.624,-51.96,-11.765,2026-07-14T20:03:01
LNA00436P2,84.0,-13.715,34.791,-41.959,-10.48,2026-07-14T20:03:36
LNA00408P2,86.0,-13.308,34.725,-45.468,-11.772,2026-07-14T20:04:03
LNA00422P2,80.0,-12.823,34.712,-48.239,-12.664,2026-07-14T20:05:50
LNA00474P2,82.0,-12.465,34.495,-45.859,-11.375,2026-07-14T20:06:46
LNA00413P2,81.0,-12.922,34.577,-45.837,-12.15,2026-07-14T20:10:56
LNA00411P2,83.0,-13.667,34.736,-55.317,-11.305,2026-07-14T20:11:42
LNA00427P2,83.0,-13.455,34.841,-45.035,-10.792,2026-07-14T20:16:03
LNA00440P2,83.0,-12.944,34.849,-48.766,-11.27,2026-07-14T20:16:29
LNA00465P2,82.0,-13.379,34.639,-47.575,-11.373,2026-07-14T20:17:06
LNA00426P2,80.0,-12.244,34.479,-50.093,-11.309,2026-07-14T20:17:58
LNA00424P2,86.0,-14.208,34.902,-49.63,-11.704,2026-07-14T20:18:33
LNA00441P2,84.0,-12.499,34.631,-43.925,-12.119,2026-07-14T20:19:08
LNA00443P2,82.0,-12.886,34.559,-54.369,-11.409,2026-07-14T20:19:43
LNA00464P2,84.0,-12.85,34.626,-46.717,-11.782,2026-07-14T20:20:19
LNA00504P2,81.0,-12.831,34.568,-47.042,-11.837,2026-07-14T20:21:07
LNA00503P2,85.0,-13.243,34.724,-43.181,-11.107,2026-07-14T20:21:36
LNA00463P2,84.0,-13.513,34.706,-42.583,-11.179,2026-07-14T20:22:21
LNA00425P2,84.0,-13.024,34.661,-48.557,-12.574,2026-07-14T20:23:38
LNA00423P2,87.0,-14.231,34.874,-51.596,-12.027,2026-07-14T20:24:39
LNA00432P2,93.0,-15.187,31.774,-46.91,-4.191,2026-07-14T20:30:26
LNA00446P2,84.0,-13.287,34.576,-49.103,-10.344,2026-07-14T20:31:00
LNA00416P2,84.0,-13.158,34.672,-45.612,-11.248,2026-07-14T20:31:39
LNA00445P2,87.0,-13.293,34.855,-52.492,-11.858,2026-07-14T20:32:07
LNA00444P2,82.0,-13.274,34.82,-48.283,-12.565,2026-07-14T20:32:41
LNA00442P2,82.0,-12.608,34.608,-46.16,-11.536,2026-07-14T20:33:04
LNA00431P2,84.0,-12.916,34.54,-47.226,-10.756,2026-07-14T20:33:40
LNA00414P2,86.0,-14.148,34.837,-48.92,-11.944,2026-07-14T20:34:06
LNA00412P2,82.0,-12.982,34.544,-46.202,-10.663,2026-07-14T20:34:52
LNA00467P2,0.0,-0.439,-28.421,-30.577,-3.717,2026-07-14T20:35:19
LNA00468P2,85.0,-12.957,34.613,-46.141,-11.048,2026-07-14T20:35:47
LNA00469P2,83.0,-12.944,34.636,-48.77,-11.749,2026-07-14T20:36:09
LNA00428P2,84.0,-13.324,34.792,-47.977,-11.295,2026-07-14T20:36:42
LNA00429P2,84.0,-13.144,34.605,-46.76,-11.67,2026-07-14T20:37:12
LNA00409P2,83.0,-13.453,34.717,-43.007,-10.8,2026-07-14T20:37:54
LNA00410P2,85.0,-13.813,34.622,-48.022,-11.248,2026-07-14T20:38:22
LNA00439P2,85.0,-13.337,34.718,-61.471,-11.902,2026-07-14T20:38:46
LNA00466P2,82.0,-13.064,34.594,-51.555,-11.844,2026-07-14T20:39:07
LNA00470P2,82.0,-13.428,34.743,-51.307,-11.442,2026-07-14T20:39:33
LNA00415P2,83.0,-13.169,34.562,-48.343,-12.044,2026-07-14T20:40:07
LNA00430P2,81.0,-13.082,34.602,-46.02,-12.003,2026-07-14T20:41:10
LNA00397P1,84.0,-12.667,34.57,-52.284,-11.346,2026-07-14T20:45:06
LNA00468P1,81.0,-12.436,34.589,-50.375,-12.459,2026-07-14T20:45:36
LNA00471P1,83.0,-13.052,34.742,-52.792,-11.969,2026-07-14T20:46:18
LNA00474P1,81.0,-12.351,34.342,-52.053,-11.473,2026-07-14T20:46:53
LNA00385P1,84.0,-13.235,34.645,-47.441,-10.867,2026-07-14T20:48:20
LNA00396P1,82.0,-12.052,34.362,-50.458,-11.526,2026-07-14T20:49:14
LNA00466P1,81.0,-13.285,34.448,-45.745,-11.079,2026-07-14T20:50:13
LNA00398P1,83.0,-12.199,34.642,-46.709,-13.126,2026-07-14T20:50:42
LNA00386P1,81.0,-13.396,34.728,-50.122,-11.914,2026-07-14T20:51:09
LNA00389P1,85.0,-13.069,34.69,-41.324,-11.936,2026-07-14T20:51:54
LNA00391P1,86.0,-13.586,34.778,-42.597,-10.926,2026-07-14T20:52:20
LNA00400P1,86.0,-13.731,34.788,-49.003,-11.07,2026-07-14T20:52:59
LNA00456P1,86.0,-14.386,34.94,-46.141,-11.076,2026-07-14T20:53:30
LNA00467P1,83.0,-12.44,34.429,-46.581,-10.97,2026-07-14T20:53:57
LNA00387P1,85.0,-13.536,34.774,-45.738,-11.408,2026-07-14T20:54:33
LNA00419P1,84.0,-12.7,34.655,-64.613,-11.324,2026-07-14T20:57:34
LNA00442P1,84.0,-13.031,34.589,-47.34,-11.155,2026-07-14T20:58:10
LNA00426P1,83.0,-13.593,34.718,-53.89,-11.702,2026-07-14T21:00:17
LNA00425P1,82.0,-12.865,34.697,-51.603,-12.773,2026-07-14T21:03:31
LNA00417P1,84.0,-13.305,34.612,-48.542,-11.594,2026-07-14T21:04:02
LNA00418P1,83.0,-13.022,34.425,-47.298,-10.714,2026-07-14T21:04:30
LNA00443P1,82.0,-13.564,34.752,-66.175,-11.738,2026-07-14T21:04:58
LNA00432P1,84.0,-12.935,34.715,-45.497,-12.03,2026-07-14T21:05:21
LNA00437P1,81.0,-13.49,34.554,-49.32,-11.036,2026-07-14T21:05:50
LNA00420P1,82.0,-13.511,34.687,-49.367,-11.325,2026-07-14T21:06:20
LNA00472P1,84.0,-14.488,34.632,-50.247,-11.292,2026-07-14T21:06:42
LNA00452P1,85.0,-13.332,34.672,-44.371,-10.607,2026-07-14T21:11:48
LNA00473P1,82.0,-12.934,34.595,-51.336,-11.912,2026-07-14T21:12:18
LNA00454P1,83.0,-13.039,34.672,-44.521,-11.182,2026-07-14T21:12:47
LNA00393P1,81.0,-12.478,34.506,-49.563,-11.885,2026-07-14T21:13:11
LNA00500P1,83.0,-13.053,34.667,-49.56,-11.797,2026-07-14T21:13:33
LNA00407P1,83.0,-12.757,34.62,-55.016,-11.442,2026-07-14T21:14:01
LNA00421P1,80.0,-12.759,34.604,-49.703,-12.161,2026-07-14T21:14:29
LNA00461P1,83.0,-12.165,34.396,-46.649,-12.853,2026-07-14T21:14:52
LNA00462P1,0.0,-3.087,-28.618,-30.674,0.082,2026-07-14T21:15:45
LNA00427P1,84.0,-13.42,34.84,-51.097,-11.931,2026-07-14T21:16:08
LNA00394P1,83.0,-13.364,34.595,-50.63,-10.862,2026-07-14T21:16:52
LNA00395P1,86.0,-14.291,34.903,-53.159,-11.656,2026-07-14T21:17:32
LNA00390P1,81.0,-13.393,34.748,-54.821,-11.091,2026-07-14T21:18:09
LNA00436P1,83.0,-13.02,34.524,-44.849,-11.646,2026-07-14T21:18:43
LNA00392P1,84.0,-12.805,34.542,-44.947,-11.613,2026-07-14T21:19:07
LNA00438P1,82.0,-13.4,34.759,-48.73,-12.176,2026-07-14T21:19:35
LNA00504P1,82.0,-13.382,34.632,-56.352,-11.454,2026-07-14T21:21:06
LNA00448P1,82.0,-12.82,34.499,-47.047,-12.251,2026-07-14T21:21:30
LNA00415P1,81.0,-12.86,34.476,-47.671,-10.975,2026-07-14T21:21:51
LNA00428P1,81.0,-13.199,34.772,-47.929,-11.859,2026-07-14T21:22:11
LNA00435P1,82.0,-12.601,34.503,-43.585,-11.001,2026-07-14T21:22:31
LNA00001P2,81.0,-12.413,34.334,-55.973,-12.182,2026-07-14T21:23:03
LNA00429P1,81.0,-12.478,34.345,-58.354,-11.607,2026-07-14T21:23:30
LNA00465P1,84.0,-13.057,34.542,-43.893,-10.498,2026-07-14T21:23:56
LNA00416P1,84.0,-14.029,34.81,-47.949,-11.32,2026-07-14T21:24:21
LNA00430P1,82.0,-13.237,34.759,-46.759,-11.899,2026-07-14T21:24:47
LNA00460P1,82.0,-12.899,34.497,-48.791,-11.25,2026-07-14T21:25:47
LNA00412P1,85.0,-13.791,34.712,-55.041,-11.633,2026-07-14T21:31:50
LNA00502P1,86.0,-12.886,34.508,-51.149,-11.282,2026-07-14T21:32:17
LNA00444P1,82.0,-12.545,34.591,-53.387,-12.163,2026-07-14T21:32:41
LNA00501P1,82.0,-12.749,34.504,-44.563,-11.333,2026-07-14T21:33:00
LNA00410P1,82.0,-13.458,34.651,-46.032,-11.751,2026-07-14T21:33:47
LNA00457P1,85.0,-12.751,34.644,-46.053,-11.584,2026-07-14T21:34:30
LNA00446P1,82.0,-13.064,34.678,-52.37,-11.732,2026-07-14T21:35:07
LNA00463P1,85.0,-13.918,34.739,-41.481,-11.139,2026-07-14T21:36:02
LNA00441P1,84.0,-13.556,34.698,-65.782,-11.54,2026-07-14T21:36:27
LNA00440P1,86.0,-13.828,34.647,-59.481,-11.141,2026-07-14T21:37:07
LNA00445P1,85.0,-12.699,34.562,-43.926,-11.042,2026-07-14T21:37:31
LNA00503P1,84.0,-13.755,34.661,-44.135,-10.893,2026-07-14T21:38:19
LNA00433P1,81.0,-12.323,34.475,-51.63,-12.543,2026-07-14T21:38:43
LNA00449P1,81.0,-12.688,34.517,-49.45,-11.866,2026-07-14T21:39:05
LNA00431P1,83.0,-13.162,34.837,-44.524,-11.997,2026-07-14T21:39:30
LNA00439P1,85.0,-13.162,34.573,-49.863,-11.65,2026-07-14T21:40:07
LNA00434P1,80.0,-12.394,34.526,-48.985,-12.139,2026-07-14T21:40:32
LNA00458P1,81.0,-13.667,34.753,-51.817,-12.302,2026-07-14T21:40:57
LNA00459P1,85.0,-13.561,34.729,-48.374,-11.419,2026-07-14T21:41:27
LNA00408P1,85.0,-13.686,34.774,-52.698,-10.932,2026-07-14T21:41:51
LNA00409P1,82.0,-13.497,34.811,-41.553,-11.97,2026-07-14T21:42:24
LNA00424P1,87.0,-13.583,34.779,-58.173,-11.97,2026-07-14T21:42:51
LNA00414P1,84.0,-13.443,34.695,-45.602,-11.599,2026-07-14T21:43:15
LNA00470P1,85.0,-13.114,34.613,-51.555,-11.863,2026-07-14T21:43:45
LNA00469P1,87.0,-14.809,34.825,-48.903,-11.709,2026-07-14T21:44:09
LNA00464P1,84.0,-13.562,34.67,-45.601,-11.408,2026-07-14T21:44:46
LNA00411P1,84.0,-12.696,34.603,-52.639,-11.618,2026-07-14T21:46:16
LNA00422P1,82.0,-12.958,34.652,-51.362,-11.89,2026-07-14T21:46:48
LNA00423P1,80.0,-13.04,34.488,-48.736,-11.604,2026-07-14T21:47:14
LNA00413P1,83.0,-12.709,34.596,-44.795,-11.14,2026-07-14T21:47:46
LNA00450P1,82.0,-13.165,34.663,-49.175,-11.346,2026-07-14T21:48:26
